uai;libelle_court;libelle_long;statut_juridique_court;adresse;complement_adresse;code_postal;localite;geolocalisation;site_internet;compte_twitter;compte_facebook;compte_linkedin;compte_googleplus;compte_youtube;compte_dailymotion;identifiant_freebase;identifiant_wikidata;statut_operateur_lolf;libelle_mission_chef_de_file;identifiant_programme_lolf_chef_de_file;libelle_programme_lolf_chef_de_file;identifiants_autres_programmes_lolf;libelles_autres_programmes_lolf;com_code;com_nom;uucr_id;uucr_nom;dep_id;dep_nom;aca_id;aca_nom;reg_id;reg_nom;numero_siren_siret_uai
;IFPEN;IFP Energies nouvelles;Établissement public à caractère industriel et commercial;1-4 AVENUE DE BOIS PREAU;;92852;RUEIL-MALMAISON;48.8766445, 2.1738144;http://www.ifpenergiesnouvelles.fr/;https://twitter.com/IFPENinnovation;;;;;;http://www.freebase.com/m/086gj4;http://www.wikidata.org/entity/Q84026;Opérateurs MIRES 2014;Recherche et enseignement supérieur;190;Recherche dans les domaines de l'énergie, du développement et de l'aménagement durables;;;92063;Rueil-Malmaison;UU00851;Paris;D092;Hauts-de-Seine;A25;Versailles;R11;Île-de-France;
0932509X;CEE;Centre d'études de l'emploi;Établissement public à caractère administratif;29 PROMENADE MICHEL SIMON;;93160;NOISY-LE-GRAND;48.8421937, 2.5785861;http://www.cee-recherche.fr/;https://twitter.com/CeeEtudesEmploi;;;;;;;http://www.wikidata.org/entity/Q2945184;Opérateurs LOLF Hors MIRES 2014;Travail et emploi;155;Conception, gestion et évaluation des politiques de l'emploi et du travail;;;93051;Noisy-le-Grand;UU00851;Paris;D093;Seine-Saint-Denis;A24;Créteil;R11;Île-de-France;18003804400020
;BPI France;BPI France;Société anonyme;48 RUE DE VILLIERS;;92300;LEVALLOIS-PERRET;48.8901225, 2.2802354;http://www.bpifrance.fr/;https://twitter.com/Bpifrance;;https://www.linkedin.com/company/bpifrance;;;;;http://www.wikidata.org/entity/Q2362964;Non_Opérateur_LOLF;;;;;;92044;Levallois-Perret;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;
0755363X;BRGM;Bureau de recherches géologiques et minières;Établissement public à caractère industriel et commercial;TOUR MIRABEAU,;39-43, QUAI ANDRÉ CITROËN;75739;PARIS CEDEX 15;48.846321, 2.277709;http://www.brgm.fr/;https://twitter.com/BRGM_fr;;;;;;http://www.freebase.com/m/0_h2d10;http://www.wikidata.org/entity/Q138691;Opérateurs MIRES 2014;Recherche et enseignement supérieur;187;Recherche dans le domaine de la gestion des milieux et des ressources;181;;75115;Paris 15e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;40070693300019
0755504A;ADEME;Agence de l'environnement et de la maîtrise de l'énergie;Établissement public à caractère industriel et commercial;20, AVENUE DU GRÉSILLÉ;BP 90406;49004;ANGERS CEDEX 01;47.4577839, -0.6028762;http://www2.ademe.fr/;https://twitter.com/ademe;;;;;;;http://www.wikidata.org/entity/Q2826599;Opérateurs LOLF Hors MIRES 2014;Écologie, développement et aménagement durables;181;Prévention des risques;190;;49007;Angers;UU49701;Angers;D049;Maine-et-Loire;A17;Nantes;R52;Pays de la Loire;41883990800013
0755621C;CEPH;Centre d'étude du polymorphisme humain;Fondation reconnue d'utilité publique;27, RUE JULIETTE DODU;;75010;PARIS;48.8757246, 2.368677;http://www.cephb.fr/;;;;;;;http://www.freebase.com/m/0cfzvs;http://www.wikidata.org/entity/Q5464989;Non_Opérateur_LOLF;;;;;;75110;Paris 10e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;
;ANSéS;Agence nationale de sécurité sanitaire, de l'alimentation, de l'environnement et du travail;Établissement public à caractère administratif;27-31 AVENUE DU GENERAL LECLERC;;94701;MAISONS-ALFORT;48.8146905, 2.4232006;http://www.anses.fr/;https://twitter.com/Anses_fr;;;;;;;http://www.wikidata.org/entity/Q392520;Opérateurs LOLF Hors MIRES 2014;Agriculture, alimentation, forêt et affaires rurales;206;Sécurité et qualité sanitaires de l'alimentation;"111;181;190;204;";;94046;Maisons-Alfort;UU00851;Paris;D094;Val-de-Marne;A24;Créteil;R11;Île-de-France;
0922644Z;IRSTEA;Institut national de recherche en sciences et technologies pour l'environnement et l'agriculture;Établissements publics à caractère scientifique et technologique;1 RUE PIERRE-GILLES DE GENNES;CS 10030;92761;ANTHONY CEDEX;48.7480895, 2.3145062;http://www.irstea.fr/;https://twitter.com/irstea;;;;;;http://www.freebase.com/m/0285w1k;http://www.wikidata.org/entity/Q3152425;Opérateurs MIRES 2014;Recherche et enseignement supérieur;187;Recherche dans le domaine de la gestion des milieux et des ressources;"142;181";;92002;Antony;UU00851;Paris;D092;Hauts-de-Seine;A25;Versailles;R11;Île-de-France;18007001300107
0133438S;CEREQ;Centre d'Etudes et de Recherches sur les Qualifications;Établissement public à caractère administratif;10 PLACE DE LA JOLIETTE;BP 21321;13567;MARSEILLE CEDEX 02;43.3053224, 5.3659087;http://www.cereq.fr/;https://twitter.com/PRESSECEREQ;;;;;;;http://www.wikidata.org/entity/Q2945205;Opérateurs LOLF Hors MIRES 2014;Enseignement scolaire;214;Soutien de la politique de l'éducation nationale;155;;13202;Marseille 2e;UU00759;Marseille - Aix-en-Provence;D013;Bouches-du-Rhône;A02;Aix-Marseille;R93;Provence-Alpes-Côte d'Azur;
0755364Y;INSERM;Institut national de la santé et de la recherche médicale;Établissements publics à caractère scientifique et technologique;101 RUE DE TOLBIAC;;75013;PARIS;48.8267106, 2.3653748;http://www.inserm.fr/;https://twitter.com/Inserm;;;;;;http://www.freebase.com/m/0gv88y;http://www.wikidata.org/entity/Q1474517;Opérateurs MIRES 2014;Recherche et enseignement supérieur;172;Recherches scientifiques et technologiques pluridisciplinaires;;;75113;Paris 13e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;18003604800015
